main,state,stov,micro,garb,kitchen,refg
16,0,1,4,0,5,6
16,0,1,5,0,4,6
16,0,1,4,0,5,6
15,0,1,4,0,3,7
16,0,1,4,0,4,7
14,0,0,4,0,3,7
13,0,0,4,0,3,6
15,0,1,4,0,4,6
15,0,1,4,0,4,6
16,0,1,5,0,4,6
15,0,1,4,0,3,7
15,0,1,4,0,4,6
14,0,1,4,0,3,6
15,0,1,4,0,3,7
15,0,0,5,0,4,6
16,0,1,4,0,5,6
14,0,0,4,0,4,6
17,0,1,5,0,5,6
15,0,1,4,0,4,6
15,0,1,4,0,3,7
14,0,1,4,0,3,6
14,0,1,4,0,3,6
15,0,0,4,0,5,6
15,0,0,4,0,4,7
14,0,1,4,0,3,6
16,0,1,4,0,5,6
13,0,0,4,0,3,6
15,0,0,4,0,4,7
16,0,1,5,0,4,6
17,0,1,4,0,5,7
15,0,1,4,0,3,7
16,0,1,4,0,5,6
14,0,0,4,0,4,6
16,0,1,4,0,4,7
15,0,1,4,0,3,7
15,0,0,5,0,4,6
14,0,1,4,0,3,6
15,0,0,4,0,4,7
15,0,1,4,0,4,6
16,0,1,4,0,5,6
15,0,1,4,0,3,7
13,0,0,4,0,3,6
15,0,1,4,0,3,7
15,0,1,4,0,3,7
15,0,1,4,0,3,7
14,0,0,4,0,4,6
15,0,1,4,0,3,7
13,0,0,4,0,3,6
15,0,1,4,0,4,6
14,0,1,4,0,3,6
15,0,1,4,0,3,7
14,0,0,4,0,3,7
14,0,0,4,0,4,6
14,0,0,4,0,4,6
14,0,1,4,0,3,6
16,0,1,4,0,4,7
16,0,1,4,0,4,7
15,0,1,4,0,3,7
16,0,1,5,0,3,7
15,0,1,4,0,4,6
15,0,1,4,0,4,6
15,0,0,5,0,3,7
16,0,1,4,0,4,7
15,0,1,4,0,4,6
14,0,0,5,0,3,6
14,0,1,4,0,3,6
15,0,1,4,0,4,6
14,0,0,4,0,3,7
15,0,1,4,0,3,7
14,0,1,4,0,3,6
15,0,1,4,0,3,7
14,0,1,4,0,3,6
15,0,1,4,0,4,6
16,0,1,5,0,3,7
14,0,1,4,0,3,6
15,0,1,4,0,3,7
16,0,1,4,0,4,7
14,0,1,4,0,3,6
14,0,0,4,0,3,7
14,0,1,4,0,3,6
15,0,1,4,0,3,7
16,0,1,4,0,4,7
14,0,1,4,0,3,6
15,0,1,5,0,3,6
15,0,1,4,0,3,7
15,0,1,4,0,3,7
15,0,1,5,0,3,6
16,0,1,5,0,3,7
15,0,1,4,0,3,7
15,0,1,4,0,4,6
16,0,1,4,0,5,6
15,0,1,4,0,3,7
14,0,1,4,0,3,6
14,0,0,4,0,3,7
15,0,1,4,0,4,6
15,0,1,4,0,3,7
14,0,0,4,0,4,6
15,0,1,4,0,4,6
15,0,1,4,0,3,7
15,0,1,4,0,4,6
16,0,1,4,0,5,6
15,0,1,4,0,4,6
14,0,1,4,0,3,6
15,0,1,4,0,3,7
16,0,1,4,0,4,7
15,0,1,4,0,3,7
16,0,1,5,0,3,7
13,0,0,4,0,3,6
16,0,1,4,0,5,6
15,0,1,4,0,4,6
15,0,1,4,0,3,7
17,0,1,4,0,5,7
15,0,1,4,0,4,6
15,0,1,4,0,3,7
15,0,1,4,0,3,7
15,0,1,4,0,4,6
16,0,1,4,0,5,6
16,0,1,5,0,4,6
14,0,1,4,0,3,6
14,0,1,4,0,3,6
15,0,1,5,0,3,6
16,0,1,4,0,5,6
16,0,1,4,0,5,6
15,0,1,4,0,3,7
15,0,1,4,0,4,6
17,0,1,5,0,4,7
15,0,1,4,0,4,6
14,0,1,4,0,3,6
15,0,1,4,0,3,7
15,0,1,4,0,3,7
15,0,1,4,0,3,7
16,0,1,4,0,4,7
15,0,1,4,0,3,7
14,0,1,4,0,3,6
16,0,1,5,0,4,6
14,0,1,4,0,3,6
15,0,1,5,0,3,6
15,0,1,4,0,4,6
14,0,1,4,0,3,6
15,0,1,4,0,3,7
15,0,1,4,0,4,6
15,0,1,4,0,4,6
16,0,1,5,0,3,7
15,0,1,4,0,3,7
15,0,1,4,0,3,7
13,0,0,4,0,3,6
15,0,0,4,0,5,6
17,0,1,4,0,5,7
16,0,0,4,0,5,7
16,0,1,4,0,5,6
15,0,1,4,0,3,7
16,0,1,4,0,5,6
15,0,1,4,0,4,6
14,0,1,4,0,3,6
14,0,1,4,0,3,6
14,0,1,4,0,3,6
14,0,1,4,0,3,6
14,0,1,4,0,3,6
14,0,0,4,0,4,6
16,0,1,4,0,5,6
16,0,1,4,0,4,7
15,0,1,4,0,4,6
15,0,0,4,0,4,7
14,0,1,4,0,3,6
15,0,1,4,0,3,7
14,0,1,4,0,3,6
15,0,1,4,0,4,6
15,0,1,4,0,3,7
15,0,0,4,0,4,7
14,0,1,4,0,3,6
15,0,1,4,0,3,7
17,0,1,4,0,5,7
14,0,0,5,0,3,6
15,0,0,5,0,4,6
14,0,1,4,0,3,6
15,0,1,5,0,3,6
15,0,1,4,0,3,7
15,0,1,4,0,4,6
16,0,1,4,0,5,6
16,0,1,4,0,4,7
14,0,0,4,0,3,7
14,0,1,4,0,3,6
16,0,1,4,0,4,7
15,0,1,4,0,3,7
15,0,1,4,0,4,6
15,0,1,4,0,3,7
15,0,1,4,0,3,7
15,0,1,4,0,4,6
17,0,1,5,0,4,7
15,0,1,4,0,4,6
14,0,1,4,0,3,6
15,0,1,4,0,4,6
15,0,1,4,0,4,6
14,0,0,4,0,4,6
16,0,1,4,0,4,7
14,0,1,4,0,3,6
15,0,1,4,0,3,7
13,0,0,4,0,3,6
16,0,1,4,0,5,6
15,0,0,5,0,4,6
14,0,1,4,0,3,6
15,0,1,4,0,4,6
15,0,1,4,0,3,7
15,0,1,4,0,4,6
15,0,1,4,0,4,6
17,0,1,5,0,5,6
16,0,1,4,0,4,7
16,0,1,4,0,4,7
16,0,1,5,0,3,7
15,0,1,4,0,4,6
14,0,1,4,0,3,6
15,0,1,4,0,3,7
14,0,1,4,0,3,6
15,0,1,4,0,4,6
13,0,0,4,0,3,6
14,0,1,4,0,3,6
15,0,1,4,0,4,6
15,0,1,4,0,4,6
16,0,0,5,0,4,7
15,0,1,4,0,4,6
14,0,0,4,0,4,6
15,0,1,4,0,4,6
15,0,1,4,0,3,7
15,0,1,5,0,3,6
14,0,0,4,0,4,6
15,0,0,4,0,5,6
16,0,1,4,0,4,7
16,0,1,4,0,4,7
15,0,1,4,0,3,7
15,0,1,4,0,4,6
15,0,1,4,0,3,7
16,0,1,4,0,4,7
15,0,1,4,0,4,6
184,4,0,5,0,4,175
192,4,0,5,0,4,183
196,4,0,5,0,3,188
198,4,0,5,0,3,190
196,4,0,5,0,4,187
195,4,0,5,0,4,186
195,4,0,5,0,4,186
