main,state,oven,refg,kitchen,lite,bath
256,5,0,6,57,192,1
256,5,0,6,57,192,1
257,5,0,6,58,192,1
256,5,0,6,57,192,1
256,5,0,6,57,192,1
255,5,0,6,55,193,1
255,5,0,6,56,192,1
257,5,0,6,57,193,1
261,5,0,6,61,193,1
255,5,0,6,56,192,1
256,5,0,6,57,192,1
261,5,0,6,61,193,1
257,5,0,6,58,192,1
259,5,0,6,60,192,1
262,5,0,6,61,194,1
260,5,0,6,61,192,1
255,5,0,6,56,192,1
258,5,0,6,59,192,1
259,5,0,6,60,192,1
258,5,0,6,59,192,1
261,5,0,6,61,193,1
262,5,0,6,62,193,1
260,5,0,6,60,193,1
261,5,0,6,62,192,1
261,5,0,6,62,192,1
259,5,0,6,60,192,1
260,5,0,6,61,192,1
261,5,0,6,62,192,1
261,5,0,6,62,192,1
258,5,0,6,59,192,1
259,5,0,6,60,192,1
259,5,0,6,60,192,1
258,5,0,6,59,192,1
258,5,0,6,59,192,1
260,5,0,6,60,193,1
259,5,0,6,60,192,1
262,5,0,6,63,192,1
264,5,0,6,65,192,1
260,5,0,6,61,192,1
258,5,0,6,59,192,1
260,5,0,6,61,192,1
258,5,0,6,59,192,1
258,5,0,6,59,192,1
265,5,0,6,66,192,1
258,5,0,6,59,192,1
258,5,0,6,59,192,1
261,5,0,6,62,192,1
258,5,0,6,59,192,1
259,5,0,6,60,192,1
264,5,0,6,65,192,1
258,5,0,6,59,192,1
258,5,0,6,58,193,1
259,5,0,6,60,192,1
256,5,0,6,57,192,1
256,5,0,7,57,191,1
250,5,0,4,56,190,0
256,5,0,6,57,192,1
261,5,0,6,62,192,1
256,5,0,6,57,192,1
258,5,0,6,60,190,2
257,5,2,5,58,192,0
256,5,0,6,57,192,1
261,5,0,6,62,192,1
257,5,0,6,59,191,1
260,5,0,6,61,192,1
258,5,0,6,59,192,1
258,5,0,6,59,192,1
257,5,0,6,57,193,1
257,5,0,6,57,193,1
256,5,0,6,56,193,1
258,5,0,6,59,192,1
256,5,0,6,57,192,1
258,5,0,6,59,192,1
259,5,0,6,60,192,1
262,5,0,6,63,192,1
258,5,0,6,59,192,1
259,5,0,6,60,192,1
262,5,0,6,64,191,1
259,5,0,6,60,192,1
261,5,0,6,62,192,1
260,5,0,6,61,192,1
258,5,0,6,59,192,1
258,5,0,6,60,191,1
260,5,0,6,61,192,1
259,5,0,6,60,192,1
260,5,0,6,61,192,1
258,5,0,6,59,192,1
258,5,0,6,59,192,1
258,5,0,6,60,191,1
257,5,0,6,59,191,1
259,5,0,6,61,191,1
258,5,0,6,60,191,1
254,5,0,6,56,191,1
258,5,0,6,59,192,1
255,5,0,6,57,191,1
256,5,0,6,58,191,1
256,5,0,6,58,191,1
255,5,0,6,57,191,1
254,5,0,6,57,190,1
254,5,0,6,56,191,1
