time,main,oven,refg,kitchen,lite
1,256,0,0,0,1
2,255,0,0,0,1
3,262,0,0,0,1
4,258,0,0,0,1
5,261,0,0,0,1
6,258,0,0,0,1
7,260,0,0,0,1
8,258,0,0,0,1
9,258,0,0,0,1
10,264,0,0,0,1
11,256,0,0,0,1
12,258,0,0,0,1
13,260,0,0,0,1
14,256,0,0,0,1
15,262,0,0,0,1
16,261,0,0,0,1
17,259,0,0,0,1
18,257,0,0,0,1
19,255,0,0,0,1
20,254,0,0,0,1
21,254,0,0,0,1
22,253,0,0,0,1
23,257,0,0,0,1
24,252,0,0,0,1
25,250,0,0,0,1
26,254,0,0,0,1
27,251,0,0,0,1
28,252,0,0,0,1
29,256,0,0,0,1
30,254,0,0,0,1
31,256,0,0,0,1
32,257,0,0,0,1
33,255,0,0,0,1
34,254,0,0,0,1
35,255,0,0,0,1
36,254,0,0,0,1
37,256,0,0,0,1
38,256,0,0,0,1
39,256,0,0,0,1
40,254,0,0,0,1
41,254,0,0,0,1
42,254,0,0,0,1
43,256,0,0,0,1
44,253,0,0,0,1
45,254,0,0,0,1
46,252,0,0,0,1
47,253,0,0,0,1
48,252,0,0,0,1
49,251,0,0,0,1
50,251,0,0,0,1
51,254,0,0,0,1
52,252,0,0,0,1
53,253,0,0,0,1
54,253,0,0,0,1
55,252,0,0,0,1
56,1881,0,0,0,1
57,1878,0,0,0,1
58,1880,0,0,0,1
59,1872,0,0,0,1
60,1869,0,0,0,1
61,1870,0,0,0,1
62,1874,0,0,0,1
63,1870,0,0,0,1
64,1870,0,0,0,1
65,1867,0,0,0,1
66,247,0,0,0,1
67,246,0,0,0,1
68,248,0,0,0,1
69,248,0,0,0,1
70,247,0,0,0,1
71,246,0,0,0,1
72,248,0,0,0,1
73,183,0,0,0,1
74,182,0,0,0,1
75,183,0,0,0,1
76,182,0,0,0,1
77,183,0,0,0,1
78,183,0,0,0,1
79,181,0,0,0,1
80,182,0,0,0,1
81,181,0,0,0,1
82,185,0,0,0,1
83,181,0,0,0,1
84,178,0,0,0,1
85,179,0,0,0,1
86,179,0,0,0,1
87,179,0,0,0,1
88,178,0,0,0,1
89,178,0,0,0,1
90,182,0,0,0,1
91,179,0,0,0,1
92,179,0,0,0,1
93,178,0,0,0,1
94,180,0,0,0,1
95,178,0,0,0,1
96,177,0,0,0,1
97,180,0,0,0,1
98,179,0,0,0,1
99,178,0,0,0,1
100,178,0,0,0,1
101,179,0,0,0,1
102,181,0,0,0,1
103,180,0,0,0,1
104,178,0,0,0,1
105,183,0,0,0,1
106,178,0,0,0,1
107,177,0,0,0,1
108,178,0,0,0,1
109,177,0,0,0,1
110,177,0,0,0,1
111,179,0,0,0,1
112,176,0,0,0,1
113,177,0,0,0,1
114,180,0,0,0,1
115,177,0,0,0,1
116,179,0,0,0,1
117,179,0,0,0,1
118,178,0,0,0,1
119,178,0,0,0,1
120,178,0,0,0,1
121,179,0,0,0,1
122,180,0,0,0,1
123,178,0,0,0,1
124,176,0,0,0,1
125,176,0,0,0,1
126,176,0,0,0,1
127,179,0,0,0,1
128,178,0,0,0,1
129,180,0,0,0,1
130,180,0,0,0,1
131,176,0,0,0,1
132,178,0,0,0,1
133,177,0,0,0,1
134,176,0,0,0,1
135,177,0,0,0,1
136,176,0,0,0,1
137,175,0,0,0,1
138,175,0,0,0,1
139,176,0,0,0,1
140,179,0,0,0,1
141,177,0,0,0,1
142,176,0,0,0,1
143,177,0,0,0,1
144,176,0,0,0,1
145,175,0,0,0,1
146,177,0,0,0,1
147,176,0,0,0,1
148,175,0,0,0,1
149,175,0,0,0,1
150,177,0,0,0,1
151,176,0,0,0,1
152,180,0,0,0,1
153,176,0,0,0,1
154,178,0,0,0,1
155,177,0,0,0,1
156,176,0,0,0,1
157,179,0,0,0,1
158,175,0,0,0,1
159,177,0,0,0,1
160,175,0,0,0,1
161,177,0,0,0,1
162,175,0,0,0,1
163,176,0,0,0,1
164,177,0,0,0,1
165,180,0,0,0,1
166,176,0,0,0,1
167,181,0,0,0,1
168,176,0,0,0,1
169,177,0,0,0,1
170,175,0,0,0,1
171,175,0,0,0,1
172,177,0,0,0,1
173,177,0,0,0,1
174,179,0,0,0,1
175,178,0,0,0,1
176,409,0,1,0,1
177,390,0,1,0,1
178,378,0,1,0,1
179,380,0,1,0,1
180,374,0,1,0,1
181,379,0,1,0,1
182,374,0,1,0,1
183,372,0,1,0,1
184,371,0,1,0,1
185,368,0,1,0,1
186,370,0,1,0,1
187,372,0,1,0,1
188,368,0,1,0,1
189,373,0,1,0,1
190,369,0,1,0,1
191,369,0,1,0,1
192,367,0,1,0,1
193,368,0,1,0,1
194,366,0,1,0,1
195,366,0,1,0,1
196,364,0,1,0,1
197,368,0,1,0,1
198,365,0,1,0,1
199,367,0,1,0,1
200,370,0,1,0,1
201,364,0,1,0,1
202,361,0,1,0,1
203,327,0,1,0,1
204,327,0,1,0,1
205,329,0,1,0,1
206,341,0,1,0,1
207,338,0,1,0,1
208,340,0,1,0,1
209,324,0,1,0,1
210,329,0,1,0,1
211,563,0,1,0,1
212,563,0,1,0,1
213,562,0,1,0,1
214,559,0,1,0,1
215,556,0,1,0,1
216,555,0,1,0,1
217,556,0,1,0,1
218,555,0,1,0,1
219,552,0,1,0,1
220,554,0,1,0,1
221,553,0,1,0,1
222,552,0,1,0,1
223,550,0,1,0,1
224,591,0,1,0,1
225,549,0,1,0,1
226,550,0,1,0,1
227,552,0,1,0,1
228,552,0,1,0,1
229,555,0,1,0,1
230,553,0,1,0,1
231,554,0,1,0,1
232,552,0,1,0,1
233,554,0,1,0,1
234,551,0,1,0,1
235,552,0,1,0,1
236,552,0,1,0,1
237,552,0,1,0,1
238,552,0,1,0,1
239,550,0,1,0,1
240,552,0,1,0,1
241,554,0,1,0,1
242,554,0,1,0,1
243,552,0,1,0,1
244,552,0,1,0,1
245,554,0,1,0,1
246,551,0,1,0,1
247,552,0,1,0,1
248,552,0,1,0,1
249,552,0,1,0,1
250,552,0,1,0,1
251,553,0,1,0,1
252,553,0,1,0,1
253,557,0,1,0,1
254,551,0,1,0,1
255,555,0,1,0,1
256,132,0,0,0,1
257,134,0,0,0,1
258,133,0,0,0,1
259,133,0,0,0,1
260,132,0,0,0,1
261,133,0,0,0,1
262,134,0,0,0,1
263,132,0,0,0,1
264,133,0,0,0,1
265,134,0,0,0,1
266,142,0,0,0,1
267,136,0,0,0,1
268,137,0,0,0,1
269,133,0,0,0,1
270,133,0,0,0,1
271,134,0,0,0,1
272,131,0,0,0,1
273,131,0,0,0,1
274,132,0,0,0,1
275,131,0,0,0,1
276,132,0,0,0,1
277,131,0,0,0,1
278,134,0,0,0,1
279,136,0,0,0,1
280,132,0,0,0,1
281,134,0,0,0,1
282,134,0,0,0,1
283,134,0,0,0,1
284,130,0,0,0,1
285,132,0,0,0,1
286,132,0,0,0,1
287,133,0,0,0,1
288,132,0,0,0,1
289,131,0,0,0,1
290,132,0,0,0,1
291,135,0,0,0,1
292,131,0,0,0,1
293,134,0,0,0,1
294,133,0,0,0,1
295,130,0,0,0,1
296,132,0,0,0,1
297,133,0,0,0,1
298,134,0,0,0,1
299,131,0,0,0,1
300,133,0,0,0,1
301,132,0,0,0,1
302,132,0,0,0,1
303,133,0,0,0,1
304,134,0,0,0,1
305,137,0,0,0,1
306,130,0,0,0,1
307,132,0,0,0,1
308,130,0,0,0,1
309,131,0,0,0,1
310,134,0,0,0,1
311,135,0,0,0,1
312,384,0,1,0,1
313,346,0,1,0,1
314,351,0,1,0,1
315,350,0,1,0,1
316,353,0,1,0,1
317,344,0,1,0,1
318,343,0,1,0,1
319,338,0,1,0,1
320,343,0,1,0,1
321,340,0,1,0,1
322,336,0,1,0,1
323,341,0,1,0,1
324,339,0,1,0,1
325,336,0,1,0,1
326,330,0,1,0,1
327,332,0,1,0,1
328,335,0,1,0,1
329,333,0,1,0,1
330,331,0,1,0,1
331,339,0,1,0,1
332,329,0,1,0,1
333,331,0,1,0,1
334,329,0,1,0,1
335,330,0,1,0,1
336,327,0,1,0,1
337,332,0,1,0,1
338,336,0,1,0,1
339,329,0,1,0,1
340,328,0,1,0,1
341,328,0,1,0,1
342,328,0,1,0,1
343,333,0,1,0,1
344,329,0,1,0,1
345,330,0,1,0,1
346,322,0,1,0,1
347,327,0,1,0,1
348,327,0,1,0,1
349,327,0,1,0,1
350,326,0,1,0,1
351,329,0,1,0,1
352,326,0,1,0,1
353,329,0,1,0,1
354,329,0,1,0,1
355,328,0,1,0,1
356,323,0,1,0,1
357,326,0,1,0,1
358,326,0,1,0,1
359,326,0,1,0,1
360,324,0,1,0,1
361,323,0,1,0,1
362,325,0,1,0,1
363,323,0,1,0,1
364,323,0,1,0,1
365,323,0,1,0,1
366,326,0,1,0,1
367,327,0,1,0,1
368,319,0,1,0,1
369,320,0,1,0,1
370,322,0,1,0,1
371,323,0,1,0,1
372,321,0,1,0,1
373,318,0,1,0,1
374,320,0,1,0,1
375,321,0,1,0,1
376,321,0,1,0,1
377,324,0,1,0,1
378,319,0,1,0,1
379,322,0,1,0,1
380,324,0,1,0,1
381,325,0,1,0,1
382,319,0,1,0,1
383,318,0,1,0,1
384,321,0,1,0,1
385,317,0,1,0,1
386,317,0,1,0,1
387,317,0,1,0,1
388,321,0,1,0,1
389,320,0,1,0,1
390,320,0,1,0,1
391,318,0,1,0,1
392,320,0,1,0,1
393,321,0,1,0,1
394,319,0,1,0,1
395,327,0,1,0,1
396,320,0,1,0,1
397,320,0,1,0,1
398,317,0,1,0,1
399,318,0,1,0,1
400,315,0,1,0,1
401,357,0,1,0,1
402,317,0,1,0,1
403,319,0,1,0,1
404,329,0,1,0,1
405,335,0,1,0,1
406,320,0,1,0,1
407,313,0,1,0,1
408,315,0,1,0,1
409,316,0,1,0,1
410,317,0,1,0,1
411,312,0,1,0,1
412,316,0,1,0,1
413,311,0,1,0,1
414,314,0,1,0,1
415,310,0,1,0,1
416,313,0,1,0,1
417,315,0,1,0,1
418,316,0,1,0,1
419,312,0,1,0,1
420,317,0,1,0,1
421,311,0,1,0,1
422,314,0,1,0,1
423,308,0,1,0,1
424,314,0,1,0,1
425,309,0,1,0,1
426,314,0,1,0,1
427,130,0,0,0,1
428,133,0,0,0,1
429,133,0,0,0,1
430,131,0,0,0,1
431,135,0,0,0,1
432,134,0,0,0,1
433,131,0,0,0,1
434,133,0,0,0,1
435,134,0,0,0,1
436,131,0,0,0,1
437,131,0,0,0,1
438,131,0,0,0,1
439,132,0,0,0,1
440,131,0,0,0,1
441,133,0,0,0,1
442,132,0,0,0,1
443,130,0,0,0,1
444,130,0,0,0,1
445,135,0,0,0,1
446,132,0,0,0,1
447,133,0,0,0,1
448,133,0,0,0,1
449,131,0,0,0,1
450,172,0,0,0,1
451,134,0,0,0,1
452,134,0,0,0,1
453,132,0,0,0,1
454,133,0,0,0,1
455,174,0,0,0,1
456,148,0,0,0,1
457,148,0,0,0,1
458,146,0,0,0,1
459,133,0,0,0,1
